"","Date","Time","Fo","Fm","FvFm","sample_id","temp","aggregate","leachate","species","days_of_exposure","treatment"
"55","24-06-19",21:35:34,190,417,0.544,"A2H","ambient",2,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"56","24-06-19",21:36:06,548,1192,0.54,"A1H","ambient",1,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"57","24-06-19",21:36:32,518,945,0.452,"A9H","ambient",9,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"58","24-06-19",21:36:56,465,816,0.43,"A2L","ambient",2,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"59","24-06-19",21:37:27,167,371,0.55,"A10L","ambient",10,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"60","24-06-19",21:37:49,275,511,0.462,"A7L","ambient",7,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"61","24-07-20",21:23:30,258,654,0.606,"A8C","ambient",8,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"62","24-07-20",21:24:16,404,898,0.55,"A10C","ambient",10,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"63","24-07-20",21:25:04,221,534,0.586,"A3C","ambient",3,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"64","24-07-20",21:25:25,536,1276,0.58,"A5C","ambient",5,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"65","24-07-20",21:25:44,335,741,0.548,"A1C","ambient",1,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"66","24-07-20",21:26:18,339,864,0.608,"A6C","ambient",6,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"67","24-07-20",21:26:49,316,664,0.524,"A7C","ambient",7,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"68","24-07-20",21:27:09,188,402,0.532,"A4C","ambient",4,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"69","24-07-20",21:27:40,337,639,0.473,"A2C","ambient",2,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"70","24-07-20",21:27:57,438,921,0.524,"A9C","ambient",9,"control","A. elegantissima x B. muscatinei","2","ambient_control"
"71","24-07-20",21:29:16,211,500,0.578,"A6L","ambient",6,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"72","24-07-20",21:29:35,427,1080,0.605,"A9L","ambient",9,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"73","24-07-20",21:30:13,246,506,0.514,"A7L","ambient",7,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"74","24-07-20",21:30:52,273,565,0.517,"A5L","ambient",5,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"75","24-07-20",21:31:49,131,305,0.57,"A4L","ambient",4,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"76","24-07-20",21:32:19,259,494,0.476,"A2L","ambient",2,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"77","24-07-20",21:32:42,186,410,0.546,"A3L","ambient",3,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"78","24-07-20",21:34:07,80,151,0.47,"A1L","ambient",1,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"79","24-07-20",21:34:45,188,425,0.558,"A8L","ambient",8,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"80","24-07-20",21:35:04,172,385,0.553,"A10L","ambient",10,"low","A. elegantissima x B. muscatinei","2","ambient_low"
"81","24-07-20",21:36:50,142,283,0.498,"A6H","ambient",6,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"82","24-07-20",21:37:46,227,423,0.463,"A9H","ambient",9,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"83","24-07-20",21:38:05,194,398,0.513,"A5H","ambient",5,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"84","24-07-20",21:38:37,216,411,0.474,"A10H","ambient",10,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"85","24-07-20",21:38:53,175,358,0.511,"A4H","ambient",4,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"86","24-07-20",21:39:12,273,584,0.533,"A1H","ambient",1,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"87","24-07-20",21:39:32,171,432,0.604,"A3H","ambient",3,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"88","24-07-20",21:39:54,230,469,0.51,"A7H","ambient",7,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"89","24-07-20",21:40:25,416,784,0.469,"A8H","ambient",8,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"90","24-07-20",21:40:41,275,517,0.468,"A2H","ambient",2,"high","A. elegantissima x B. muscatinei","2","ambient_high"
"91","24-07-20",21:43:01,328,640,0.488,"H4C","hot",4,"control","A. elegantissima x B. muscatinei","2","hot_control"
"92","24-07-20",21:43:37,459,937,0.51,"H3C","hot",3,"control","A. elegantissima x B. muscatinei","2","hot_control"
"93","24-07-20",21:44:07,595,1194,0.502,"H2C","hot",2,"control","A. elegantissima x B. muscatinei","2","hot_control"
"94","24-07-20",21:44:43,495,1061,0.533,"H9C","hot",9,"control","A. elegantissima x B. muscatinei","2","hot_control"
"95","24-07-20",21:45:26,274,601,0.544,"H5C","hot",5,"control","A. elegantissima x B. muscatinei","2","hot_control"
"96","24-07-20",21:45:47,337,713,0.527,"H7C","hot",7,"control","A. elegantissima x B. muscatinei","2","hot_control"
"97","24-07-20",21:46:31,909,1759,0.483,"H8C","hot",8,"control","A. elegantissima x B. muscatinei","2","hot_control"
"98","24-07-20",21:47:34,112,181,0.381,"H1C","hot",1,"control","A. elegantissima x B. muscatinei","2","hot_control"
"99","24-07-20",21:47:54,400,722,0.446,"H6C","hot",6,"control","A. elegantissima x B. muscatinei","2","hot_control"
"100","24-07-20",21:48:15,641,1257,0.49,"H10C","hot",10,"control","A. elegantissima x B. muscatinei","2","hot_control"
"101","24-07-20",21:49:24,359,849,0.577,"H6L","hot",6,"low","A. elegantissima x B. muscatinei","2","hot_low"
"102","24-07-20",21:49:55,189,392,0.518,"H9L","hot",9,"low","A. elegantissima x B. muscatinei","2","hot_low"
"103","24-07-20",21:50:15,205,314,0.347,"H7L","hot",7,"low","A. elegantissima x B. muscatinei","2","hot_low"
"104","24-07-20",21:50:39,270,584,0.538,"H3L","hot",3,"low","A. elegantissima x B. muscatinei","2","hot_low"
"105","24-07-20",21:51:08,462,968,0.523,"H4L","hot",4,"low","A. elegantissima x B. muscatinei","2","hot_low"
"106","24-07-20",21:51:40,340,660,0.485,"H1L","hot",1,"low","A. elegantissima x B. muscatinei","2","hot_low"
"107","24-07-20",21:52:10,452,1023,0.558,"H8L","hot",8,"low","A. elegantissima x B. muscatinei","2","hot_low"
"108","24-07-20",21:52:31,345,692,0.501,"H10L","hot",10,"low","A. elegantissima x B. muscatinei","2","hot_low"
"109","24-07-20",21:52:50,633,1304,0.515,"H5L","hot",5,"low","A. elegantissima x B. muscatinei","2","hot_low"
"110","24-07-20",21:53:12,556,1170,0.525,"H2L","hot",2,"low","A. elegantissima x B. muscatinei","2","hot_low"
"111","24-07-20",21:54:25,300,545,0.45,"H10H","hot",10,"high","A. elegantissima x B. muscatinei","2","hot_high"
"112","24-07-20",21:54:49,195,412,0.527,"H9H","hot",9,"high","A. elegantissima x B. muscatinei","2","hot_high"
"113","24-07-20",21:55:09,440,985,0.553,"H8H","hot",8,"high","A. elegantissima x B. muscatinei","2","hot_high"
"114","24-07-20",21:55:29,730,1450,0.497,"H7H","hot",7,"high","A. elegantissima x B. muscatinei","2","hot_high"
"115","24-07-20",21:55:51,436,806,0.459,"H3H","hot",3,"high","A. elegantissima x B. muscatinei","2","hot_high"
"116","24-07-20",21:56:16,618,1245,0.504,"H1H","hot",1,"high","A. elegantissima x B. muscatinei","2","hot_high"
"117","24-07-20",21:56:35,584,1233,0.526,"H4H","hot",4,"high","A. elegantissima x B. muscatinei","2","hot_high"
"118","24-07-20",21:56:53,520,1130,0.54,"H5H","hot",5,"high","A. elegantissima x B. muscatinei","2","hot_high"
"119","24-07-20",21:57:12,520,1023,0.492,"H2H","hot",2,"high","A. elegantissima x B. muscatinei","2","hot_high"
"120","24-07-20",21:57:29,746,1524,0.51,"H6H","hot",6,"high","A. elegantissima x B. muscatinei","2","hot_high"
"121","24-06-21",21:34:29,314,632,0.503,"A1C","ambient",1,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"122","24-06-21",21:35:38,882,1936,0.544,"A5C","ambient",5,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"123","24-06-21",21:36:09,53,127,0.583,"A3C","ambient",3,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"124","24-06-21",21:36:38,503,1024,0.509,"A10C","ambient",10,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"125","24-06-21",21:36:58,404,1123,0.64,"A8C","ambient",8,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"126","24-06-21",21:37:27,154,330,0.533,"A9C","ambient",9,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"127","24-06-21",21:37:47,180,380,0.526,"A2C","ambient",2,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"128","24-06-21",21:38:10,336,703,0.522,"A4C","ambient",4,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"129","24-06-21",21:38:32,441,918,0.52,"A7C","ambient",7,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"130","24-06-21",21:38:50,244,546,0.553,"A6C","ambient",6,"control","A. elegantissima x B. muscatinei","3","ambient_control"
"131","24-06-21",21:39:29,198,410,0.517,"A4L","ambient",4,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"132","24-06-21",21:40:00,198,479,0.587,"A5L","ambient",5,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"133","24-06-21",21:40:18,374,673,0.444,"A7L","ambient",7,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"134","24-06-21",21:40:35,389,856,0.546,"A9L","ambient",9,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"135","24-06-21",21:40:53,450,1107,0.593,"A6L","ambient",6,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"136","24-06-21",21:41:19,500,1076,0.535,"A10L","ambient",10,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"137","24-06-21",21:41:39,137,316,0.566,"A8L","ambient",8,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"138","24-06-21",21:42:13,27,62,0.565,"A1L","ambient",1,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"139","24-06-21",21:42:41,244,574,0.575,"A3L","ambient",3,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"140","24-06-21",21:43:00,385,730,0.473,"A2L","ambient",2,"low","A. elegantissima x B. muscatinei","3","ambient_low"
"141","24-06-21",21:43:32,268,596,0.55,"A4H","ambient",4,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"142","24-06-21",21:44:03,276,691,0.601,"A10H","ambient",10,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"143","24-06-21",21:44:26,496,1128,0.56,"A9H","ambient",9,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"144","24-06-21",21:44:44,479,1201,0.601,"A5H","ambient",5,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"145","24-06-21",21:45:07,143,301,0.525,"A6H","ambient",6,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"146","24-06-21",21:45:29,236,463,0.49,"A2H","ambient",2,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"147","24-06-21",21:45:57,287,555,0.483,"A8H","ambient",8,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"148","24-06-21",21:46:16,435,954,0.544,"A7H","ambient",7,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"149","24-06-21",21:46:37,200,444,0.55,"A3H","ambient",3,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"150","24-06-21",21:46:55,214,473,0.548,"A1H","ambient",1,"high","A. elegantissima x B. muscatinei","3","ambient_high"
"151","24-06-21",21:48:45,324,733,0.558,"H9C","hot",9,"control","A. elegantissima x B. muscatinei","3","hot_control"
"152","24-06-21",21:49:25,195,433,0.55,"H5C","hot",5,"control","A. elegantissima x B. muscatinei","3","hot_control"
"153","24-06-21",21:49:43,224,439,0.49,"H2C","hot",2,"control","A. elegantissima x B. muscatinei","3","hot_control"
"154","24-06-21",21:49:58,504,1167,0.568,"H3C","hot",3,"control","A. elegantissima x B. muscatinei","3","hot_control"
"155","24-06-21",21:50:16,304,492,0.382,"H4C","hot",4,"control","A. elegantissima x B. muscatinei","3","hot_control"
"156","24-06-21",21:51:02,331,696,0.524,"H10C","hot",10,"control","A. elegantissima x B. muscatinei","3","hot_control"
"157","24-06-21",21:51:22,556,1254,0.557,"H6C","hot",6,"control","A. elegantissima x B. muscatinei","3","hot_control"
"158","24-06-21",21:51:47,246,479,0.486,"H1C","hot",1,"control","A. elegantissima x B. muscatinei","3","hot_control"
"159","24-06-21",21:52:03,467,864,0.459,"H8C","hot",8,"control","A. elegantissima x B. muscatinei","3","hot_control"
"160","24-06-21",21:52:22,353,760,0.536,"H7C","hot",7,"control","A. elegantissima x B. muscatinei","3","hot_control"
"161","24-06-21",21:53:01,46,100,0.54,"H7L","hot",7,"low","A. elegantissima x B. muscatinei","3","hot_low"
"162","24-06-21",21:53:18,556,1120,0.504,"H4L","hot",4,"low","A. elegantissima x B. muscatinei","3","hot_low"
"163","24-06-21",21:53:38,413,993,0.584,"H3L","hot",3,"low","A. elegantissima x B. muscatinei","3","hot_low"
"164","24-06-21",21:53:57,492,1105,0.555,"H9L","hot",9,"low","A. elegantissima x B. muscatinei","3","hot_low"
"165","24-06-21",21:54:25,717,1506,0.524,"H6L","hot",6,"low","A. elegantissima x B. muscatinei","3","hot_low"
"166","24-06-21",21:55:03,279,581,0.52,"H1L","hot",1,"low","A. elegantissima x B. muscatinei","3","hot_low"
"167","24-06-21",21:55:25,657,1337,0.509,"H2L","hot",2,"low","A. elegantissima x B. muscatinei","3","hot_low"
"168","24-06-21",21:55:43,549,1138,0.518,"H5L","hot",5,"low","A. elegantissima x B. muscatinei","3","hot_low"
"169","24-06-21",21:56:06,385,702,0.452,"H10L","hot",10,"low","A. elegantissima x B. muscatinei","3","hot_low"
"170","24-06-21",21:56:26,189,415,0.545,"H8L","hot",8,"low","A. elegantissima x B. muscatinei","3","hot_low"
"171","24-06-21",21:57:51,508,1113,0.544,"H9H","hot",9,"high","A. elegantissima x B. muscatinei","3","hot_high"
"172","24-06-21",21:58:10,372,805,0.538,"H3H","hot",3,"high","A. elegantissima x B. muscatinei","3","hot_high"
"173","24-06-21",21:58:28,451,1028,0.561,"H7H","hot",7,"high","A. elegantissima x B. muscatinei","3","hot_high"
"174","24-06-21",21:58:50,574,1156,0.503,"H8H","hot",8,"high","A. elegantissima x B. muscatinei","3","hot_high"
"175","24-06-21",21:59:06,313,650,0.518,"H10H","hot",10,"high","A. elegantissima x B. muscatinei","3","hot_high"
"176","24-06-21",21:59:31,753,1511,0.502,"H4H","hot",4,"high","A. elegantissima x B. muscatinei","3","hot_high"
"177","24-06-21",21:59:49,754,1557,0.516,"H6H","hot",6,"high","A. elegantissima x B. muscatinei","3","hot_high"
"178","24-06-21",22:00:14,142,321,0.558,"H2H","hot",2,"high","A. elegantissima x B. muscatinei","3","hot_high"
"179","24-06-21",22:00:33,398,789,0.496,"H5H","hot",5,"high","A. elegantissima x B. muscatinei","3","hot_high"
"180","24-06-21",22:00:52,510,1007,0.494,"H1H","hot",1,"high","A. elegantissima x B. muscatinei","3","hot_high"
"181","24-06-22",20:19:49,250,680,0.632,"A8C","ambient",8,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"182","24-06-22",20:20:19,256,524,0.511,"A10C","ambient",10,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"183","24-06-22",20:20:46,368,773,0.524,"A3C","ambient",3,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"184","24-06-22",20:21:05,499,1197,0.583,"A5C","ambient",5,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"185","24-06-22",20:21:21,219,487,0.55,"A1C","ambient",1,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"186","24-06-22",20:21:43,258,518,0.502,"A6C","ambient",6,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"187","24-06-22",20:22:02,380,959,0.604,"A7C","ambient",7,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"188","24-06-22",20:22:19,208,506,0.589,"A4C","ambient",4,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"189","24-06-22",20:22:37,229,497,0.539,"A2C","ambient",2,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"190","24-06-22",20:22:52,348,842,0.587,"A9C","ambient",9,"control","A. elegantissima x B. muscatinei","4","ambient_control"
"191","24-06-22",20:23:15,553,1298,0.574,"A6L","ambient",6,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"192","24-06-22",20:23:31,672,1384,0.514,"A9L","ambient",9,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"193","24-06-22",20:23:48,726,1449,0.499,"A7L","ambient",7,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"194","24-06-22",20:24:08,365,798,0.543,"A5L","ambient",5,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"195","24-06-22",20:24:24,184,448,0.589,"A4L","ambient",4,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"196","24-06-22",20:24:57,145,312,0.535,"A2L","ambient",2,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"197","24-06-22",20:25:46,269,651,0.587,"A3L","ambient",3,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"198","24-06-22",20:26:20,155,317,0.511,"A1L","ambient",1,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"199","24-06-22",20:26:47,255,620,0.589,"A8L","ambient",8,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"200","24-06-22",20:27:05,400,928,0.569,"A10L","ambient",10,"low","A. elegantissima x B. muscatinei","4","ambient_low"
"201","24-06-22",20:27:36,342,796,0.57,"A6H","ambient",6,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"202","24-06-22",20:27:54,580,1508,0.615,"A9H","ambient",9,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"203","24-06-22",20:28:14,594,1374,0.568,"A5H","ambient",5,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"204","24-06-22",20:28:31,187,400,0.533,"A10H","ambient",10,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"205","24-06-22",20:28:50,396,906,0.563,"A4H","ambient",44,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"206","24-06-22",20:29:14,249,581,0.571,"A3H","ambient",3,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"207","24-06-22",20:29:30,410,840,0.512,"A1H","ambient",1,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"208","24-06-22",20:29:48,611,1575,0.612,"A8H","ambient",8,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"209","24-06-22",20:30:09,946,2020,0.532,"A7H","ambient",7,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"210","24-06-22",20:30:28,74,184,0.598,"A2H","ambient",2,"high","A. elegantissima x B. muscatinei","4","ambient_high"
"211","24-06-22",20:32:06,527,1149,0.541,"H4C","hot",4,"control","A. elegantissima x B. muscatinei","4","hot_control"
"212","24-06-22",20:32:37,626,1452,0.569,"H3C","hot",3,"control","A. elegantissima x B. muscatinei","4","hot_control"
"213","24-06-22",20:32:56,878,1911,0.541,"H2C","hot",2,"control","A. elegantissima x B. muscatinei","4","hot_control"
"214","24-06-22",20:33:15,727,1677,0.566,"H5C","hot",5,"control","A. elegantissima x B. muscatinei","4","hot_control"
"215","24-06-22",20:33:33,764,1584,0.518,"H9C","hot",9,"control","A. elegantissima x B. muscatinei","4","hot_control"
"216","24-06-22",20:33:53,200,484,0.587,"H7C","hot",7,"control","A. elegantissima x B. muscatinei","4","hot_control"
"217","24-06-22",20:34:24,530,1211,0.562,"H8C","hot",8,"control","A. elegantissima x B. muscatinei","4","hot_control"
"218","24-06-22",20:34:41,184,370,0.503,"H1C","hot",1,"control","A. elegantissima x B. muscatinei","4","hot_control"
"219","24-06-22",20:34:59,404,934,0.567,"H6C","hot",6,"control","A. elegantissima x B. muscatinei","4","hot_control"
"220","24-06-22",20:35:19,293,677,0.567,"H10C","hot",10,"control","A. elegantissima x B. muscatinei","4","hot_control"
"221","24-06-22",20:36:10,607,1380,0.56,"H6L","hot",6,"low","A. elegantissima x B. muscatinei","4","hot_low"
"222","24-06-22",20:36:30,539,1206,0.553,"H9L","hot",9,"low","A. elegantissima x B. muscatinei","4","hot_low"
"223","24-06-22",20:36:46,646,1684,0.616,"H3L","hot",3,"low","A. elegantissima x B. muscatinei","4","hot_low"
"224","24-06-22",20:37:03,603,1397,0.568,"H4L","hot",4,"low","A. elegantissima x B. muscatinei","4","hot_low"
"225","24-06-22",20:37:19,324,569,0.431,"H7L","hot",7,"low","A. elegantissima x B. muscatinei","4","hot_low"
"226","24-06-22",20:37:42,500,1182,0.577,"H8L","hot",8,"low","A. elegantissima x B. muscatinei","4","hot_low"
