Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
24-07-21,11:41:32.611,F,15,984,1770,44,0.444,8.2,763,0.781,-0.216,0.606,-0.111,0.626,-0.070,745,1573,0.526
24-07-21,11:41:42.729,F,16,987,1763,80,0.440,14.8,762,0.775,-0.209,0.598,-0.108,0.627,-0.067,745,1573,0.526
24-07-21,11:41:52.793,F,17,1023,1763,116,0.420,20.5,759,0.737,-0.213,0.547,-0.108,0.650,-0.070,745,1573,0.526
24-07-21,11:42:02.976,F,18,1070,1745,161,0.387,26.2,759,0.685,-0.191,0.486,-0.099,0.680,-0.067,745,1573,0.526
24-07-21,11:42:13.092,F,19,1124,1746,222,0.356,33.2,775,0.641,-0.173,0.442,-0.099,0.715,-0.071,745,1573,0.526
24-07-21,11:42:23.236,F,20,1253,1769,337,0.292,41.3,785,0.524,-0.188,0.328,-0.111,0.797,-0.089,745,1573,0.526
24-07-21,11:42:33.354,F,21,1377,1776,505,0.225,47.7,777,0.399,-0.207,0.225,-0.114,0.875,-0.100,745,1573,0.526
24-07-21,11:42:43.475,F,22,1420,1729,743,0.179,55.9,747,0.315,-0.186,0.166,-0.090,0.903,-0.082,745,1573,0.526
24-07-21,11:42:53.585,F,23,1439,1664,1112,0.135,63.1,754,0.247,-0.099,0.129,-0.055,0.915,-0.050,745,1573,0.526
24-07-21,11:43:03.712,F,24,1476,1655,1453,0.108,65.9,756,0.199,-0.086,0.102,-0.050,0.938,-0.046,745,1573,0.526
24-07-21,11:43:13.831,F,25,1509,1644,2033,0.082,70.0,758,0.152,-0.070,0.076,-0.043,0.959,-0.041,745,1573,0.526
24-07-21,11:43:23.947,F,26,1532,1628,2652,0.059,65.7,757,0.110,-0.052,0.054,-0.034,0.974,-0.033,745,1573,0.526
24-07-21,11:43:32.278,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,11:45:14.280,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,11:45:14.280,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: 0.000, ETRmPot: 77.826 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,11:45:14.280,REG2,,"#1: alpha: 0.153, ETRm: 76.843, Ik: 501.947   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,11:45:15.682,FO,27,417,872,0,0.522,0.0,0,0,0,0,0,0,0,417,872,0.522
24-07-21,11:45:25.806,F,28,441,868,44,0.492,9.1,380,0.875,-0.073,0.754,0.005,0.506,0.002,417,872,0.522
24-07-21,11:45:35.924,F,29,452,846,80,0.466,15.7,372,0.831,-0.042,0.684,0.031,0.518,0.016,417,872,0.522
24-07-21,11:45:46.038,F,30,464,830,116,0.441,21.5,369,0.794,-0.013,0.631,0.051,0.532,0.027,417,872,0.522
24-07-21,11:45:56.164,F,31,480,811,161,0.408,27.6,357,0.729,0.002,0.542,0.075,0.550,0.042,417,872,0.522
24-07-21,11:46:06.279,F,32,494,786,222,0.372,34.7,358,0.682,0.059,0.494,0.109,0.567,0.061,417,872,0.522
24-07-21,11:46:16.403,F,33,533,772,337,0.310,43.9,355,0.573,0.084,0.382,0.130,0.611,0.079,417,872,0.522
24-07-21,11:46:26.517,F,34,555,747,504,0.257,54.4,350,0.484,0.127,0.305,0.167,0.636,0.107,417,872,0.522
24-07-21,11:46:36.638,F,35,578,728,743,0.206,64.3,342,0.389,0.152,0.230,0.198,0.663,0.131,417,872,0.522
24-07-21,11:46:46.761,F,36,598,709,1112,0.157,73.3,339,0.300,0.187,0.170,0.230,0.686,0.157,417,872,0.522
24-07-21,11:46:56.875,F,37,598,686,1453,0.128,78.1,331,0.248,0.220,0.137,0.271,0.686,0.186,417,872,0.522
24-07-21,11:47:07.000,F,38,600,663,2034,0.095,81.2,325,0.186,0.257,0.101,0.315,0.688,0.217,417,872,0.522
24-07-21,11:47:17.114,F,39,597,641,2651,0.069,76.8,322,0.138,0.299,0.074,0.360,0.685,0.246,417,872,0.522
24-07-21,11:47:25.575,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,11:50:30.567,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,11:50:30.567,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.011, ETRmPot: 105.494 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,11:50:30.567,REG2,,"#1: alpha: 0.166, ETRm: 128.049, Ik: 770.271   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,11:50:31.960,FO,40,230,487,0,0.528,0.0,0,0,0,0,0,0,0,230,487,0.528
24-07-21,11:50:42.083,F,41,267,507,44,0.473,8.7,236,0.886,-0.054,0.783,-0.039,0.548,-0.021,230,487,0.528
24-07-21,11:50:52.207,F,42,275,528,80,0.479,16.1,243,0.888,-0.109,0.785,-0.078,0.565,-0.044,230,487,0.528
24-07-21,11:51:02.252,F,43,285,539,116,0.471,22.9,245,0.864,-0.144,0.743,-0.096,0.585,-0.056,230,487,0.528
24-07-21,11:51:12.446,F,44,295,545,161,0.459,31.0,250,0.847,-0.148,0.718,-0.106,0.606,-0.065,230,487,0.528
24-07-21,11:51:22.512,F,45,308,555,222,0.445,41.5,253,0.818,-0.175,0.672,-0.123,0.632,-0.077,230,487,0.528
24-07-21,11:51:32.625,F,46,337,562,337,0.400,56.6,250,0.721,-0.214,0.535,-0.133,0.692,-0.092,230,487,0.528
24-07-21,11:51:42.799,F,47,362,562,505,0.356,75.5,268,0.680,-0.144,0.503,-0.133,0.743,-0.099,230,487,0.528
24-07-21,11:51:52.922,F,48,426,599,743,0.289,90.2,271,0.527,-0.276,0.335,-0.187,0.875,-0.164,230,487,0.528
24-07-21,11:52:03.035,F,49,457,589,1112,0.224,104.6,269,0.413,-0.245,0.243,-0.173,0.938,-0.162,230,487,0.528
24-07-21,11:52:13.155,F,50,474,589,1453,0.195,119.0,254,0.343,-0.304,0.184,-0.173,0.973,-0.168,230,487,0.528
24-07-21,11:52:23.283,F,51,461,542,2035,0.149,127.4,253,0.280,-0.125,0.154,-0.101,0.947,-0.096,230,487,0.528
24-07-21,11:52:33.419,F,52,483,551,2653,0.123,137.1,259,0.233,-0.136,0.125,-0.116,0.992,-0.115,230,487,0.528
24-07-21,11:52:41.650,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,11:54:54.574,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,11:54:54.574,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 74.322 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,11:54:54.574,REG2,,"#1: alpha: 0.129, ETRm: 74.197, Ik: 577.008   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,11:54:55.968,FO,53,380,683,0,0.444,0.0,0,0,0,0,0,0,0,380,683,0.444
24-07-21,11:55:06.087,F,54,450,699,44,0.356,6.6,366,0.748,-0.099,0.608,-0.023,0.659,-0.015,380,683,0.444
24-07-21,11:55:16.210,F,55,459,710,80,0.354,11.9,374,0.747,-0.109,0.609,-0.038,0.672,-0.026,380,683,0.444
24-07-21,11:55:26.325,F,56,478,738,116,0.352,17.1,384,0.734,-0.168,0.590,-0.075,0.700,-0.052,380,683,0.444
24-07-21,11:55:36.450,F,57,491,738,161,0.335,22.7,383,0.696,-0.172,0.543,-0.075,0.719,-0.054,380,683,0.444
24-07-21,11:55:46.572,F,58,504,736,222,0.315,29.4,384,0.659,-0.162,0.502,-0.072,0.738,-0.053,380,683,0.444
24-07-21,11:55:56.686,F,59,523,722,337,0.276,39.1,383,0.587,-0.119,0.430,-0.054,0.766,-0.042,380,683,0.444
24-07-21,11:56:06.803,F,60,553,730,504,0.242,51.2,385,0.513,-0.139,0.357,-0.064,0.810,-0.052,380,683,0.444
24-07-21,11:56:16.930,F,61,571,707,743,0.192,59.9,376,0.411,-0.092,0.271,-0.034,0.836,-0.028,380,683,0.444
24-07-21,11:56:27.044,F,62,577,676,1111,0.146,68.1,367,0.320,-0.020,0.204,0.010,0.845,0.009,380,683,0.444
24-07-21,11:56:37.168,F,63,570,647,1453,0.119,72.6,359,0.267,0.050,0.168,0.056,0.835,0.046,380,683,0.444
24-07-21,11:56:47.284,F,64,566,623,2033,0.091,77.7,350,0.209,0.099,0.129,0.096,0.829,0.080,380,683,0.444
24-07-21,11:56:57.400,F,65,558,599,2650,0.068,75.7,345,0.161,0.162,0.100,0.140,0.817,0.115,380,683,0.444
24-07-21,11:57:05.820,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,11:59:05.673,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,11:59:05.673,REG1,,"#1: alpha: 0.177, ETRm: 72.560, Ik: 411.036   ( beta: 0.004, ETRmPot: 80.778 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,11:59:05.673,REG2,,"#1: alpha: 0.143, ETRm: 71.267, Ik: 498.370   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,11:59:07.237,FO,66,483,945,0,0.489,0.0,0,0,0,0,0,0,0,483,945,0.489
24-07-21,11:59:17.360,F,67,578,961,44,0.399,7.4,460,0.764,-0.084,0.608,-0.017,0.612,-0.011,483,945,0.489
24-07-21,11:59:27.425,F,68,586,969,80,0.395,13.3,463,0.757,-0.095,0.598,-0.025,0.620,-0.015,483,945,0.489
24-07-21,11:59:37.591,F,69,614,974,116,0.370,18.0,464,0.706,-0.104,0.534,-0.030,0.650,-0.020,483,945,0.489
24-07-21,11:59:47.716,F,70,625,971,161,0.356,24.1,468,0.688,-0.089,0.515,-0.027,0.661,-0.017,483,945,0.489
24-07-21,11:59:57.834,F,71,643,962,222,0.332,31.0,461,0.637,-0.084,0.457,-0.018,0.680,-0.012,483,945,0.489
24-07-21,12:00:07.949,F,72,670,948,337,0.293,41.5,462,0.572,-0.052,0.394,-0.003,0.709,-0.002,483,945,0.489
24-07-21,12:00:18.071,F,73,710,941,504,0.245,51.9,457,0.477,-0.048,0.307,0.004,0.751,0.004,483,945,0.489
24-07-21,12:00:28.194,F,74,731,916,743,0.202,63.0,459,0.405,0.011,0.254,0.032,0.774,0.024,483,945,0.489
24-07-21,12:00:38.307,F,75,767,899,1111,0.147,68.6,443,0.289,0.013,0.167,0.051,0.812,0.041,483,945,0.489
24-07-21,12:00:48.429,F,76,754,856,1452,0.119,72.6,440,0.245,0.100,0.143,0.104,0.798,0.083,483,945,0.489
24-07-21,12:00:58.555,F,77,773,846,2032,0.086,73.4,430,0.175,0.100,0.097,0.117,0.818,0.096,483,945,0.489
24-07-21,12:01:08.673,F,78,762,813,2651,0.063,70.1,423,0.131,0.156,0.073,0.162,0.806,0.131,483,945,0.489
24-07-21,12:01:16.984,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:03:36.845,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:03:36.845,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 54.987 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:03:36.845,REG2,,"#1: alpha: 0.142, ETRm: 62.419, Ik: 438.850   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:03:38.229,FO,79,245,478,0,0.487,0.0,0,0,0,0,0,0,0,245,478,0.487
24-07-21,12:03:48.353,F,80,281,494,44,0.431,8.0,239,0.835,-0.094,0.710,-0.032,0.588,-0.019,245,478,0.487
24-07-21,12:03:58.467,F,81,292,513,80,0.431,14.5,248,0.834,-0.137,0.708,-0.068,0.611,-0.042,245,478,0.487
24-07-21,12:04:08.589,F,82,323,541,116,0.403,19.6,253,0.757,-0.236,0.593,-0.116,0.676,-0.079,245,478,0.487
24-07-21,12:04:18.709,F,83,343,544,161,0.369,25.0,254,0.693,-0.245,0.513,-0.121,0.718,-0.087,245,478,0.487
24-07-21,12:04:28.824,F,84,357,534,222,0.331,30.9,248,0.619,-0.227,0.430,-0.105,0.747,-0.078,245,478,0.487
24-07-21,12:04:38.946,F,85,371,513,337,0.277,39.2,242,0.524,-0.163,0.342,-0.068,0.776,-0.053,245,478,0.487
24-07-21,12:04:49.070,F,86,388,499,504,0.222,47.0,239,0.427,-0.116,0.263,-0.042,0.812,-0.034,245,478,0.487
24-07-21,12:04:59.186,F,87,406,489,743,0.170,53.1,235,0.327,-0.090,0.189,-0.022,0.849,-0.019,245,478,0.487
24-07-21,12:05:09.309,F,88,421,482,1111,0.127,59.3,234,0.246,-0.064,0.137,-0.008,0.881,-0.008,245,478,0.487
24-07-21,12:05:19.422,F,89,431,480,1451,0.102,62.2,235,0.200,-0.052,0.109,-0.004,0.902,-0.004,245,478,0.487
24-07-21,12:05:29.548,F,90,445,482,2032,0.077,65.7,234,0.149,-0.064,0.078,-0.008,0.931,-0.008,245,478,0.487
24-07-21,12:05:39.666,F,91,455,484,2650,0.060,66.8,235,0.116,-0.069,0.060,-0.012,0.952,-0.012,245,478,0.487
24-07-21,12:05:48.116,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:08:01.135,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:08:01.135,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 52.934 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:08:01.135,REG2,,"#1: alpha: 0.119, ETRm: 62.161, Ik: 520.362   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:08:02.523,FO,92,213,388,0,0.451,0.0,0,0,0,0,0,0,0,213,388,0.451
24-07-21,12:08:12.647,F,93,248,397,44,0.375,6.9,217,0.828,-0.029,0.725,-0.023,0.639,-0.014,213,388,0.451
24-07-21,12:08:22.770,F,94,257,407,80,0.369,12.4,228,0.838,-0.023,0.743,-0.047,0.662,-0.031,213,388,0.451
24-07-21,12:08:32.883,F,95,285,434,116,0.343,16.7,237,0.756,-0.126,0.629,-0.106,0.735,-0.078,213,388,0.451
24-07-21,12:08:43.010,F,96,300,441,161,0.320,21.6,246,0.723,-0.114,0.593,-0.120,0.773,-0.093,213,388,0.451
24-07-21,12:08:53.124,F,97,315,444,222,0.291,27.1,244,0.645,-0.143,0.500,-0.126,0.812,-0.103,213,388,0.451
24-07-21,12:09:03.241,F,98,330,441,337,0.252,35.7,243,0.561,-0.131,0.413,-0.120,0.851,-0.103,213,388,0.451
24-07-21,12:09:13.364,F,99,348,439,504,0.207,43.8,242,0.462,-0.126,0.321,-0.116,0.897,-0.104,213,388,0.451
24-07-21,12:09:23.481,F,100,365,436,743,0.163,50.9,241,0.364,-0.114,0.240,-0.110,0.941,-0.104,213,388,0.451
24-07-21,12:09:33.607,F,101,379,431,1111,0.121,56.5,240,0.272,-0.091,0.172,-0.100,0.977,-0.098,213,388,0.451
24-07-21,12:09:43.723,F,102,384,427,1453,0.101,61.6,237,0.226,-0.086,0.139,-0.091,0.990,-0.091,213,388,0.451
24-07-21,12:09:53.846,F,103,386,417,2032,0.074,63.2,234,0.169,-0.046,0.102,-0.070,0.995,-0.069,213,388,0.451
24-07-21,12:10:03.963,F,104,386,411,2651,0.061,67.9,227,0.136,-0.051,0.080,-0.056,0.995,-0.056,213,388,0.451
24-07-21,12:10:11.853,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:13:39.139,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:13:39.139,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 66.770 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:13:39.139,REG2,,"#1: alpha: 0.129, ETRm: 69.191, Ik: 537.960   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:13:40.534,FO,105,170,296,0,0.426,0.0,0,0,0,0,0,0,0,170,296,0.426
24-07-21,12:13:50.649,F,106,195,312,44,0.375,6.9,169,0.818,-0.135,0.709,-0.051,0.659,-0.034,170,296,0.426
24-07-21,12:14:00.772,F,107,207,327,80,0.367,12.3,172,0.774,-0.230,0.643,-0.095,0.699,-0.066,170,296,0.426
24-07-21,12:14:10.884,F,108,217,335,116,0.352,17.1,179,0.756,-0.238,0.624,-0.116,0.733,-0.085,170,296,0.426
24-07-21,12:14:21.009,F,109,223,337,161,0.338,22.9,181,0.731,-0.238,0.593,-0.122,0.753,-0.091,170,296,0.426
24-07-21,12:14:31.130,F,110,233,342,222,0.319,29.7,182,0.681,-0.270,0.532,-0.135,0.787,-0.106,170,296,0.426
24-07-21,12:14:41.184,F,111,252,347,337,0.274,38.8,185,0.586,-0.286,0.430,-0.147,0.851,-0.125,170,296,0.426
24-07-21,12:14:51.367,F,112,274,356,504,0.230,48.7,189,0.491,-0.325,0.339,-0.169,0.926,-0.156,170,296,0.426
24-07-21,12:15:01.480,F,113,295,359,743,0.178,55.5,188,0.374,-0.357,0.238,-0.175,0.997,-0.175,170,296,0.426
24-07-21,12:15:11.603,F,114,311,362,1111,0.141,65.8,186,0.290,-0.397,0.173,-0.182,1.051,-0.192,170,296,0.426
24-07-21,12:15:21.725,F,115,321,361,1452,0.111,67.7,189,0.233,-0.365,0.137,-0.180,1.084,-0.195,170,296,0.426
24-07-21,12:15:31.841,F,116,334,365,2032,0.085,72.5,190,0.177,-0.389,0.101,-0.189,1.128,-0.213,170,296,0.426
24-07-21,12:15:41.965,F,117,349,373,2650,0.064,71.2,197,0.136,-0.397,0.077,-0.206,1.179,-0.243,170,296,0.426
24-07-21,12:15:50.531,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:19:26.603,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:19:26.603,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 26.077 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:19:26.603,REG2,,"#1: alpha: 0.127, ETRm: 33.318, Ik: 262.935   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:19:28.004,FO,118,374,757,0,0.506,0.0,0,0,0,0,0,0,0,374,757,0.506
24-07-21,12:19:38.123,F,119,527,885,44,0.405,7.5,446,0.815,-0.146,0.690,-0.145,0.696,-0.101,374,757,0.506
24-07-21,12:19:48.179,F,120,601,979,80,0.386,13.0,481,0.759,-0.300,0.607,-0.227,0.794,-0.180,374,757,0.506
24-07-21,12:19:58.359,F,121,693,1048,116,0.339,16.5,503,0.651,-0.423,0.473,-0.278,0.915,-0.254,374,757,0.506
24-07-21,12:20:08.478,F,122,781,1098,161,0.289,19.5,520,0.548,-0.509,0.365,-0.311,1.032,-0.321,374,757,0.506
24-07-21,12:20:18.540,F,123,825,1047,222,0.212,19.8,485,0.395,-0.467,0.232,-0.277,1.090,-0.302,374,757,0.506
24-07-21,12:20:28.713,F,124,857,1055,337,0.188,26.6,497,0.355,-0.457,0.206,-0.282,1.132,-0.320,374,757,0.506
24-07-21,12:20:38.833,F,125,931,1073,504,0.132,27.9,502,0.249,-0.491,0.134,-0.295,1.230,-0.362,374,757,0.506
24-07-21,12:20:48.955,F,126,980,1091,743,0.102,31.8,508,0.190,-0.522,0.098,-0.306,1.295,-0.397,374,757,0.506
24-07-21,12:20:59.076,F,127,1027,1106,1111,0.071,33.1,517,0.134,-0.538,0.067,-0.316,1.357,-0.428,374,757,0.506
24-07-21,12:21:09.192,F,128,1051,1103,1452,0.047,28.7,474,0.083,-0.642,0.037,-0.314,1.388,-0.435,374,757,0.506
24-07-21,12:21:19.314,F,129,969,1010,2031,0.041,35.0,480,0.077,-0.384,0.038,-0.250,1.280,-0.321,374,757,0.506
24-07-21,12:21:29.434,F,130,996,1035,2651,0.038,42.3,487,0.071,-0.431,0.035,-0.269,1.316,-0.354,374,757,0.506
24-07-21,12:21:37.724,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:26:09.487,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:26:09.487,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 57.149 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:26:09.487,REG2,,"#1: alpha: 0.121, ETRm: 65.498, Ik: 539.186   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:26:10.878,FO,131,181,298,0,0.393,0.0,0,0,0,0,0,0,0,181,298,0.393
24-07-21,12:26:21.000,F,132,180,270,44,0.333,6.2,160,0.818,0.060,0.727,0.104,0.604,0.063,181,298,0.393
24-07-21,12:26:31.117,F,133,217,331,80,0.344,11.6,186,0.786,-0.239,0.674,-0.100,0.728,-0.072,181,298,0.393
24-07-21,12:26:41.233,F,134,221,333,116,0.336,16.4,174,0.704,-0.359,0.554,-0.105,0.742,-0.078,181,298,0.393
24-07-21,12:26:51.352,F,135,215,319,161,0.326,22.0,177,0.732,-0.214,0.603,-0.066,0.721,-0.047,181,298,0.393
24-07-21,12:27:01.479,F,136,235,339,222,0.307,28.6,184,0.671,-0.325,0.525,-0.121,0.789,-0.096,181,298,0.393
24-07-21,12:27:11.592,F,137,251,341,337,0.264,37.4,187,0.584,-0.316,0.435,-0.126,0.842,-0.106,181,298,0.393
24-07-21,12:27:21.712,F,138,291,369,504,0.211,44.7,196,0.451,-0.479,0.304,-0.192,0.977,-0.188,181,298,0.393
24-07-21,12:27:31.834,F,139,304,366,743,0.169,52.7,193,0.358,-0.479,0.227,-0.186,1.020,-0.189,181,298,0.393
24-07-21,12:27:41.953,F,140,312,359,1111,0.131,61.1,192,0.281,-0.427,0.173,-0.170,1.047,-0.178,181,298,0.393
24-07-21,12:27:52.076,F,141,323,362,1452,0.108,65.9,191,0.228,-0.462,0.135,-0.177,1.084,-0.192,181,298,0.393
24-07-21,12:28:02.191,F,142,327,353,2031,0.074,63.1,189,0.159,-0.402,0.092,-0.156,1.097,-0.171,181,298,0.393
24-07-21,12:28:12.308,F,143,331,354,2649,0.065,72.3,192,0.142,-0.385,0.082,-0.158,1.111,-0.176,181,298,0.393
24-07-21,12:28:20.408,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:29:53.949,SLCS,,Light Curve start,,,,,,,,,,,,,,
24-07-21,12:29:53.949,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.011, ETRmPot: 60.242 )   (Platt et al. 1980)",,,,,,,,,,,,,,
24-07-21,12:29:53.949,REG2,,"#1: alpha: 0.105, ETRm: 89.239, Ik: 853.741   (Jassby and Platt 1976)",,,,,,,,,,,,,,
24-07-21,12:29:55.335,FO,144,77,126,0,0.389,0.0,0,0,0,0,0,0,0,77,126,0.389
24-07-21,12:30:05.459,F,145,91,137,44,0.336,6.2,80,0.807,-0.163,0.709,-0.080,0.722,-0.058,77,126,0.389
24-07-21,12:30:15.575,F,146,96,145,80,0.338,11.4,84,0.803,-0.245,0.703,-0.131,0.762,-0.100,77,126,0.389
24-07-21,12:30:25.697,F,147,101,151,116,0.331,16.1,85,0.758,-0.347,0.638,-0.166,0.802,-0.133,77,126,0.389
24-07-21,12:30:35.812,F,148,107,158,161,0.323,21.8,90,0.750,-0.388,0.631,-0.203,0.849,-0.172,77,126,0.389
24-07-21,12:30:45.935,F,149,119,175,222,0.320,29.8,101,0.757,-0.510,0.642,-0.280,0.944,-0.264,77,126,0.389
24-07-21,12:30:56.049,F,150,136,194,337,0.299,42.3,107,0.667,-0.776,0.525,-0.351,1.079,-0.378,77,126,0.389
24-07-21,12:31:06.170,F,151,152,199,504,0.236,50.0,105,0.500,-0.918,0.345,-0.367,1.206,-0.442,77,126,0.389
24-07-21,12:31:16.291,F,152,160,191,743,0.162,50.6,104,0.356,-0.776,0.231,-0.340,1.270,-0.432,77,126,0.389
24-07-21,12:31:26.409,F,153,160,188,1111,0.149,69.5,103,0.329,-0.735,0.212,-0.330,1.270,-0.419,77,126,0.389
24-07-21,12:31:36.533,F,154,158,183,1452,0.137,83.5,100,0.301,-0.694,0.191,-0.311,1.254,-0.391,77,126,0.389
24-07-21,12:31:46.654,F,155,160,178,2031,0.101,86.2,99,0.228,-0.612,0.141,-0.292,1.270,-0.371,77,126,0.389
24-07-21,12:31:56.775,F,156,167,183,2649,0.087,96.8,99,0.190,-0.714,0.113,-0.311,1.325,-0.412,77,126,0.389
24-07-21,12:32:05.080,SLCE,,Light Curve end,,,,,,,,,,,,,,
24-07-21,12:34:58.779,SLCS,,Light Curve start,,,,,,,,,,,,,,
