Date,Time,Type,No.,1:PAR,1:Y (II),1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,aggregate,leachate,species
24-06-19,21:25:13.273,FO,44,0,0.536,306,660,0.536,A8L,ambient,8,low,A. elegantissima x B. muscatinei
24-06-19,21:25:35.803,FO,45,0,0.498,213,424,0.498,A2C,ambient,2,control,A. elegantissima x B. muscatinei
24-06-19,21:26:04.298,FO,46,0,0.473,292,554,0.473,A4L,ambient,4,low,A. elegantissima x B. muscatinei
24-06-19,21:26:30.025,FO,47,0,0.501,238,477,0.501,A1C,ambient,1,control,A. elegantissima x B. muscatinei
24-06-19,21:26:58.359,FO,48,0,0.579,408,968,0.579,A9L,ambient,9,low,A. elegantissima x B. muscatinei
24-06-19,21:27:26.264,FO,49,0,0.423,154,267,0.423,A1L,ambient,1,low,A. elegantissima x B. muscatinei
24-06-19,21:27:53.069,FO,50,0,0.523,285,597,0.523,A4H,ambient,4,high,A. elegantissima x B. muscatinei
24-06-19,21:28:20.129,FO,51,0,0.553,232,519,0.553,A5L,ambient,5,low,A. elegantissima x B. muscatinei
24-06-19,21:28:43.705,FO,52,0,0.579,348,827,0.579,A6L,ambient,6,low,A. elegantissima x B. muscatinei
24-06-19,21:29:21.506,FO,53,0,0.624,190,505,0.624,A7H,ambient,7,high,A. elegantissima x B. muscatinei
24-06-19,21:29:55.918,FO,54,0,0.536,372,801,0.536,A3L,ambient,3,low,A. elegantissima x B. muscatinei
24-06-19,21:32:09.964,FO,55,0,0.519,344,715,0.519,A7C,ambient,7,control,A. elegantissima x B. muscatinei
24-06-19,21:32:30.894,FO,56,0,0.501,179,359,0.501,A3H,ambient,3,high,A. elegantissima x B. muscatinei
24-06-19,21:32:54.827,FO,57,0,0.509,380,774,0.509,A8H,ambient,8,high,A. elegantissima x B. muscatinei
24-06-19,21:33:42.699,FO,58,0,0.427,347,606,0.427,A10H,ambient,10,high,A. elegantissima x B. muscatinei
24-06-19,21:34:13.688,FO,59,0,0.532,424,906,0.532,A5H,ambient,5,high,A. elegantissima x B. muscatinei
24-06-19,21:34:43.235,FO,60,0,0.496,252,500,0.496,A6H,ambient,6,high,A. elegantissima x B. muscatinei
24-06-19,21:35:07.386,FO,61,0,0.544,645,1414,0.544,A5C,ambient,5,control,A. elegantissima x B. muscatinei
24-06-19,21:35:34.688,FO,62,0,0.544,190,417,0.544,A2H,ambient,2,high,A. elegantissima x B. muscatinei
24-06-19,21:36:06.382,FO,63,0,0.540,548,1192,0.540,A1H,ambient,1,high,A. elegantissima x B. muscatinei
24-06-19,21:36:32.147,FO,64,0,0.452,518,945,0.452,A9H,ambient,9,high,A. elegantissima x B. muscatinei
24-06-19,21:36:56.631,FO,65,0,0.430,465,816,0.430,A2L,ambient,2,low,A. elegantissima x B. muscatinei
24-06-19,21:37:27.914,FO,66,0,0.550,167,371,0.550,A10L,ambient,10,low,A. elegantissima x B. muscatinei
24-06-19,21:37:49.284,FO,67,0,0.462,275,511,0.462,A7L,ambient,7,low,A. elegantissima x B. muscatinei
