Date,Time,Type,No.,1:PAR,1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,aggregate,leachate,species
24-07-20,21:45:47.898,FO,38,0,337,713,0.527,H7C,hot,7,control,A. elegantissima x B. muscatinei 
24-07-20,21:46:31.444,FO,39,0,909,1759,0.483,H8C,hot,8,control,A. elegantissima x B. muscatinei 
24-07-20,21:47:34.258,FO,40,0,112,181,0.381,H1C,hot,1,control,A. elegantissima x B. muscatinei 
24-07-20,21:47:54.958,FO,41,0,400,722,0.446,H6C,hot,6,control,A. elegantissima x B. muscatinei 
24-07-20,21:48:15.691,FO,42,0,641,1257,0.490,H10C,hot,10,control,A. elegantissima x B. muscatinei 
24-07-20,21:49:24.648,FO,43,0,359,849,0.577,H6L,hot,6,low,A. elegantissima x B. muscatinei 
24-07-20,21:49:55.576,FO,44,0,189,392,0.518,H9L,hot,9,low,A. elegantissima x B. muscatinei 
24-07-20,21:50:15.321,FO,45,0,205,314,0.347,H7L,hot,7,low,A. elegantissima x B. muscatinei 
24-07-20,21:50:39.442,FO,46,0,270,584,0.538,H3L,hot,3,low,A. elegantissima x B. muscatinei 
24-07-20,21:51:08.180,FO,47,0,462,968,0.523,H4L,hot,4,low,A. elegantissima x B. muscatinei 
24-07-20,21:51:40.194,FO,48,0,340,660,0.485,H1L,hot,1,low,A. elegantissima x B. muscatinei 
24-07-20,21:52:10.810,FO,49,0,452,1023,0.558,H8L,hot,8,low,A. elegantissima x B. muscatinei 
24-07-20,21:52:31.259,FO,50,0,345,692,0.501,H10L,hot,10,low,A. elegantissima x B. muscatinei 
24-07-20,21:52:50.721,FO,51,0,633,1304,0.515,H5L,hot,5,low,A. elegantissima x B. muscatinei 
24-07-20,21:53:12.419,FO,52,0,556,1170,0.525,H2L,hot,2,low,A. elegantissima x B. muscatinei 
24-07-20,21:54:25.870,FO,53,0,300,545,0.450,H10H,hot,10,high,A. elegantissima x B. muscatinei 
24-07-20,21:54:49.879,FO,54,0,195,412,0.527,H9H,hot,9,high,A. elegantissima x B. muscatinei 
24-07-20,21:55:09.561,FO,55,0,440,985,0.553,H8H,hot,8,high,A. elegantissima x B. muscatinei 
24-07-20,21:55:29.633,FO,56,0,730,1450,0.497,H7H,hot,7,high,A. elegantissima x B. muscatinei 
24-07-20,21:55:51.796,FO,57,0,436,806,0.459,H3H,hot,3,high,A. elegantissima x B. muscatinei 
24-07-20,21:56:16.868,FO,58,0,618,1245,0.504,H1H,hot,1,high,A. elegantissima x B. muscatinei 
24-07-20,21:56:35.438,FO,59,0,584,1233,0.526,H4H,hot,4,high,A. elegantissima x B. muscatinei 
24-07-20,21:56:53.148,FO,60,0,520,1130,0.540,H5H,hot,5,high,A. elegantissima x B. muscatinei 
24-07-20,21:57:12.682,FO,61,0,520,1023,0.492,H2H,hot,2,high,A. elegantissima x B. muscatinei 
24-07-20,21:57:29.413,FO,62,0,746,1524,0.510,H6H,hot,6,high,A. elegantissima x B. muscatinei 
